以下是《亵渎 第一卷 - 第二章 造物》章节内容中的主要事件时间线：

1. **罗格苏醒并逐渐恢复**
   - **事件内容**：罗格从昏迷中苏醒，感受到世界的变化，尤其是神之本源的存在。
   - **相关人物**：罗格
   - **对情节的影响**：罗格的苏醒和感知变化为后续他对力量和神之本源的追求奠定了基础。

2. **罗格决定利用神之本源再造光天使**
   - **事件内容**：罗格萌生了利用神之本源再造一个光天使作为宠物的想法。
   - **相关人物**：罗格
   - **对情节的影响**：这个决定驱动了罗格后续的学习和实验，成为他行动的主要动机。

3. **罗格成为费斯的学徒**
   - **事件内容**：罗格通过拍马屁和忍耐诱惑，成功成为九级法师兼炼金术士费斯的学徒。
   - **相关人物**：罗格、费斯
   - **对情节的影响**：罗格成为费斯的学徒，获得了魔法和炼金术的知识，为后续实验打下基础。

4. **罗格刻苦研究魔法阵和提升魔力**
   - **事件内容**：罗格改变了以往的懒散，开始刻苦研究魔法阵和提升魔力。
   - **相关人物**：罗格、费斯
   - **对情节的影响**：罗格的努力使他魔力达到了三级法师的水平，并掌握了魔法阵的知识，为召唤宠物做准备。

5. **罗格发现精神力可以控制物体**
   - **事件内容**：罗格无意中发现自己的精神力可以控制移动物体。
   - **相关人物**：罗格
   - **对情节的影响**：这一发现增强了罗格的能力，并预示着他未来在魔法上的潜力。

6. **罗格进行宠物召唤实验**
   - **事件内容**：罗格在房间内绘制法阵，进行宠物召唤实验，最终召唤出一具破烂的骷髅。
   - **相关人物**：罗格
   - **对情节的影响**：实验的结果虽然不如预期，但标志着罗格在魔法实验上的第一次尝试，也为后续的魔法实验和探索埋下伏笔。

通过这些事件，罗格从一个懒散的下级贵族逐渐转变为一个努力追求力量和知识的魔法师，推动了故事情节的发展。
